_prepare,_run,auto_log,background,bidi,canvas_backend,cols,column_order,compensation,complexity,complexity_question,condition,coordinates,count_blank,count_block_loop,count_experiment,count_form_goodbye,count_form_instructions,count_form_rating,count_form_text_display,count_init,count_inline_script,count_logger,count_repeat_cycle,count_sequence,cycles,description,duration,font_bold,font_family,font_italic,font_size,foreground,form_text,form_title,frequency,frequency_question,height,ignore_missing,item,keyboard_backend,mouse_backend,ok_text,order,repeat,repeat_cycle,rows,sampler_backend,similarity,similarity_question,start,stim,subject_nr,subject_parity,synth_backend,time_blank,time_block_loop,time_experiment,time_form_goodbye,time_form_instructions,time_form_rating,time_form_text_display,time_init,time_inline_script,time_logger,time_repeat_cycle,time_sequence,title,transparent_variables,use_quotes,width
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","0","0","0","0","0","0","0","0","0","0","0","0","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","D4.png","4","even","legacy","48647","NA","NA","NA","3055","48742","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","1","0","0","0","0","1","1","0","1","1","1","1","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","P3.png","4","even","legacy","74736","NA","NA","NA","3055","74831","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","2","0","0","0","0","2","2","0","2","2","2","2","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","2","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","P1.png","4","even","legacy","99872","NA","NA","NA","3055","99967","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","1","NA","NA","relative","3","0","0","0","0","3","3","0","3","3","3","3","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","4","NA","experiment","G8.png","4","even","legacy","119047","NA","NA","NA","3055","119142","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","4","NA","NA","relative","4","0","0","0","0","4","4","0","4","4","4","4","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","P2.png","4","even","legacy","138082","NA","NA","NA","3055","138177","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","2","NA","NA","relative","5","0","0","0","0","5","5","0","5","5","5","5","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","1","NA","experiment","G2.png","4","even","legacy","149863","NA","NA","NA","3055","149958","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","6","0","0","0","0","6","6","0","6","6","6","6","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","1","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","P6.png","4","even","legacy","164391","NA","NA","NA","3055","164486","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","7","0","0","0","0","7","7","0","7","7","7","7","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","3","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","3","NA","experiment","S9.png","4","even","legacy","185760","NA","NA","NA","3055","185855","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","0","NA","NA","relative","8","0","0","0","0","8","8","0","8","8","8","8","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","4","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","0","NA","experiment","D2.png","4","even","legacy","200292","NA","NA","NA","3055","200387","NA","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
"NA","NA","yes","#e7e7e7","no","legacy","NA","NA","0","3","NA","NA","relative","10","0","0","0","0","10","10","0","10","10","10","10","NA","Logs experimental data","NA","no","sans","no","14","black","NA","NA","0","NA","768","yes","NA","legacy","legacy","NA","NA","NA","0","NA","legacy","2","NA","experiment","P4.png","4","even","legacy","230269","NA","NA","NA","3055","230364","227457","NA","NA","NA","NA","NA","P0011.2 Normative ratings flanker stimuli","no","yes","1024"
